record_id,invoice_id,vendor_name,vendor_gstin,invoice_date,place_of_supply,tax_rate,taxable_value,cgst,sgst,igst,total_tax,invoice_value,supplier_filing_date,gstr2b_period,simulated_current_date
P2B-0001,INV-2603-00017,Arcadia Packaging India Private Limited,03RFLNG9701F1ZD,2026-03-10,27-Maharashtra,5,133641.00,0.00,0.00,6682.05,6682.05,140323.05,2026-04-08,2026-03,2026-06-10
P2B-0002,INV-2603-00014,Wavelength Solutions LLP,27YIYXG2138V1Z2,2026-03-01,27-Maharashtra,28,163925.00,22949.50,22949.50,0.00,45899.00,209824.00,2026-04-11,2026-03,2026-06-10
P2B-0003,INV-2603-00047,Konark Fabricators and Company,27BBEVF0062J1ZM,2026-03-09,27-Maharashtra,5,44292.00,1107.30,1107.30,0.00,2214.60,46506.60,2026-04-11,2026-03,2026-06-10
P2B-0004,INV-2603-00052,Meridian Logistics India Private Limited,27NNHOE5359S1ZX,2026-03-08,27-Maharashtra,12,411259.00,24675.54,24675.54,0.00,49351.08,460610.08,2026-04-08,2026-03,2026-06-10
P2B-0005,INV-2603-00030,Quantum Chemicals LLP,32ZQZIP1711S1ZR,2026-03-21,27-Maharashtra,12,217621.00,0.00,0.00,26114.52,26114.52,243735.52,2026-04-09,2026-03,2026-06-10
P2B-0006,INV-2603-00028,Narmada Agro Limited,09RUTFG7986V1ZZ,2026-03-24,27-Maharashtra,18,413210.00,0.00,0.00,74377.80,74377.80,487587.80,2026-04-12,2026-03,2026-06-10
P2B-0007,INV-2603-00026,Wavelength Enterprises LLP,27VGUPQ1274N1ZX,2026-03-15,27-Maharashtra,12,52793.00,3167.58,3167.58,0.00,6335.16,59128.16,2026-04-13,2026-03,2026-06-10
P2B-0008,INV-2603-00010,Trident Packaging and Company,27AVGFB0339Q1ZZ,2026-03-24,27-Maharashtra,28,114374.00,16012.36,16012.36,0.00,32024.72,146398.72,2026-04-11,2026-03,2026-06-10
P2B-0009,INV-2604-00442,Bharat Enterprises India Private Limited,27MGAGX0940T1ZV,2026-04-04,27-Maharashtra,18,156018.00,14041.62,14041.62,0.00,28083.24,184101.24,2026-04-12,2026-03,2026-06-10
P2B-0010,INV-2603-00041,Jyoti Agro LLP,10CLWJW0153B1ZL,2026-03-24,27-Maharashtra,12,344049.00,0.00,0.00,41285.88,41285.88,385334.88,2026-04-10,2026-03,2026-06-10
P2B-0011,INV-2603-00022,Wavelength Chemicals Limited,22JLIUB3888G1ZO,2026-03-30,27-Maharashtra,28,272105.00,0.00,0.00,76189.40,76189.40,348294.40,2026-04-08,2026-03,2026-06-10
P2B-0012,INV-2603-00031,Arcadia Polymers Limited,33DBDFF6066I1ZB,2026-03-20,27-Maharashtra,18,435094.00,0.00,0.00,78316.92,78316.92,513410.92,2026-04-09,2026-03,2026-06-10
P2B-0013,INV-2603-00044,Everest Agro LLP,03KJOEN7911O1Z1,2026-03-02,27-Maharashtra,5,312746.00,0.00,0.00,15637.30,15637.30,328383.30,2026-04-08,2026-03,2026-06-10
P2B-0014,INV-2604-00291,Konark Traders and Company,08STSKE2455Y1ZA,2026-04-20,27-Maharashtra,12,290164.00,0.00,0.00,34819.68,34819.68,324983.68,2026-04-12,2026-03,2026-06-10
P2B-0015,INV-2603-00032,Orbit Chemicals India Private Limited,06WWDLC2591N1Z0,2026-03-10,27-Maharashtra,12,281108.00,0.00,0.00,33732.96,33732.96,314840.96,2026-04-08,2026-03,2026-06-10
