pr_record_id,gstr2b_record_id,invoice_id,vendor_id,vendor_gstin,case_type,defect_family,match_type,expected_validation_error,expected_classification,expected_outcome,amount_delta,credit_note_amount,in_prior_period_snapshot,vendor_cumulative_itc_variance,expected_drc01c_breach,expected_rule88d_within_window,split,notes
PR-0001,2B-0201,INV-2604-00001,V038,02CTMNE5571B1Z6,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,125710.64,true,,frozen_test,all comparison fields identical
PR-0002,2B-0173,INV-2604-00002,V021,27YIYXG2138V1Z2,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,111231.08,true,,frozen_test,all comparison fields identical
PR-0003,2B-0147,INV-2604-00003,V008,33DBDFF6066I1ZB,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,1025.00,false,,calibration,all comparison fields identical
PR-0004,2B-0197,INV-2604-00004,V004,22JLIUB3888G1ZO,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,calibration,all comparison fields identical
PR-0005,2B-0389,INV-2604-00005,V025,23EANLL0258A1ZB,fuzzy_vendor_name_variant,fuzzy,fuzzy,,,auto_reconcile,0.00,,false,0.00,false,,calibration,2B vendor_name rendered as 'M/s Crestline Textiles India Pvt. Ltd.'
PR-0006,2B-0255,INV-2604-00006,V027,27BBEVF0062J1ZM,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,55586.43,false,,calibration,all comparison fields identical
PR-0007,2B-0413,INV-2604-00007,V034,32MWNUU2669X1ZI,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,calibration,all comparison fields identical
PR-0008,2B-0228,INV-2604-00008,V010,24MMKOP2707A1Z7,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,12535.93,false,,frozen_test,all comparison fields identical
PR-0009,2B-0039,INV-2604-00009,V027,27BBEVF0062J1ZM,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,55586.43,false,,frozen_test,all comparison fields identical
PR-0010,2B-0119,INV-2604-00010,V002,27NOMNQ8836X1Z2,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,82859.47,true,,calibration,all comparison fields identical
PR-0011,2B-0060,INV-2604-00011,V026,27VGUPQ1274N1ZX,gstin_header_mismatch,classification_exception,rule_classified,,gstin_header_mismatch,classified_exception,0.00,,false,0.00,false,true,calibration,PR CGST/SGST under state 27; 2B IGST under state 05; total tax equal
PR-0012,2B-0051,INV-2604-00012,V024,24WIIYL3578T1Z9,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,frozen_test,all comparison fields identical
PR-0013,2B-0281,INV-2604-00013,V023,32ZQZIP1711S1ZR,credit_note_netting,classification_exception,rule_classified,,credit_note_netting,classified_exception,-1000.00,1000.00,false,4744.52,false,false,frozen_test,2B net of credit note Rs.1000.00
PR-0014,2B-0077,INV-2604-00014,V017,27ITFXL3590N1ZG,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,40727.16,false,,frozen_test,all comparison fields identical
PR-0015,2B-0388,INV-2604-00015,V007,27NFAOH7689K1ZL,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,79774.05,true,,calibration,all comparison fields identical
PR-0016,2B-0379,INV-2604-00016,V016,27NNHOE5359S1ZX,gstin_header_mismatch,classification_exception,rule_classified,,gstin_header_mismatch,classified_exception,0.00,,false,176.08,false,false,frozen_test,PR CGST/SGST under state 27; 2B IGST under state 02; total tax equal
PR-0017,2B-0079,INV-2604-00017,V022,27CBGHX9945C1ZJ,gstin_header_mismatch,classification_exception,rule_classified,,gstin_header_mismatch,classified_exception,0.00,,false,50272.05,false,false,frozen_test,PR CGST/SGST under state 27; 2B IGST under state 33; total tax equal
