record_id,invoice_id,vendor_name,vendor_gstin,invoice_date,place_of_supply,tax_rate,taxable_value,cgst,sgst,igst,total_tax,invoice_value,supplier_filing_date,gstr2b_period,simulated_current_date
2B-0001,INV-2604-00129,MERIDIAN LOGISTICS INDIA PVT. LTD.,27NNHOE5359S1ZX,2026-04-11,27-Maharashtra,12,292918.00,17575.08,17575.08,0.00,35150.16,328068.16,2026-05-11,2026-04,2026-06-10
2B-0002,INV-2604-00046,Konark Traders and Company,08STSKE2455Y1ZA,2026-04-24,27-Maharashtra,12,346930.00,0.00,0.00,41631.60,41631.60,388561.60,2026-05-08,2026-04,2026-06-10
2B-0003,INV-2604-00484,Dynamo Textiles Private Limited,32MWNUU2669X1ZI,2026-04-15,27-Maharashtra,5,55992.00,0.00,0.00,2799.60,2799.60,58791.60,2026-05-10,2026-04,2026-06-10
2B-0004,INV-2604-00172,Bharat 5teel and C0mpany ;,06ZUWQL5692X1Z7,2026-04-15,27-Maharashtra,28,122671.00,0.00,0.00,34347.88,34347.88,157018.88,2026-05-08,2026-04,2026-06-10
2B-0005,INV-2604-00401,Yamuna Traders Limited,02LJWUK8178Q1ZJ,2026-04-13,27-Maharashtra,12,313177.00,0.00,0.00,37581.24,37581.24,350758.24,2026-05-12,2026-04,2026-06-10
2B-0006,INV-2604-00419,Konark Traders and Company,08STSKE2455Y1ZA,2026-04-13,27-Maharashtra,12,368431.00,0.00,0.00,44211.72,44211.72,412642.72,2026-05-06,2026-04,2026-06-10
2B-0007,INV-2604-00285,Falcon Chemicals Private Limited,27DDBTQ1492W1ZA,2026-04-12,27-Maharashtra,5,183557.00,4588.92,4588.93,0.00,9177.85,192734.85,2026-05-08,2026-04,2026-06-10
2B-0008,INV-2604-00349,Crestline Traders and Company,10RCYAZ9838E1Z7,2026-04-03,27-Maharashtra,5,353132.00,0.00,0.00,17656.60,17656.60,370788.60,2026-05-08,2026-04,2026-06-10
2B-0009,INV-2604-00435,M/s Jyoti Agro LLP,10CLWJW0153B1ZL,2026-04-24,27-Maharashtra,12,121757.00,0.00,0.00,14610.84,14610.84,136367.84,2026-05-05,2026-04,2026-06-10
2B-0010,INV-2604-00120,Ganga Enterprises India Private Limited,27ITFXL3590N1ZG,2026-04-26,27-Maharashtra,28,31408.00,4397.12,4397.12,0.00,8794.24,40202.24,2026-05-10,2026-04,2026-06-10
2B-0011,INV-2604-00331,Ganga Enterprises India Private Limited,27ITFXL3590N1ZG,2026-04-20,27-Maharashtra,5,92799.00,2319.97,2319.98,0.00,4639.95,97438.95,2026-05-09,2026-04,2026-06-10
2B-0012,INV-2604-00480,Wavelength Chemicals Limited,22JLIUB3888G1ZO,2026-04-06,27-Maharashtra,12,78739.00,0.00,0.00,9448.68,9448.68,88187.68,2026-05-07,2026-04,2026-06-10
2B-0013,INV-2604-00492,Everest Agro LLP,03KJOEN7911O1Z1,2026-04-25,27-Maharashtra,28,409382.00,0.00,0.00,114626.96,114626.96,524008.96,2026-05-08,2026-04,2026-06-10
2B-0014,INV-2604-00493,"K0nark Fabricators an,d C0mpany",27BBEVF0062J1ZM,2026-04-04,27-Maharashtra,5,295244.00,7381.10,7381.10,0.00,14762.20,310006.20,2026-05-07,2026-04,2026-06-10
2B-0015,INV-2604-90010,Falcon Logistics Private Limited,24WIIYL3578T1Z9,2026-04-28,27-Maharashtra,12,182708.00,0.00,0.00,21924.96,21924.96,204632.96,2026-05-12,2026-04,2026-06-10
2B-0016,INV-2604-00438,Deccan Solutions India Private Limited,24MMKOP2707A1Z7,2026-04-26,27-Maharashtra,12,386405.00,0.00,0.00,46368.60,46368.60,432773.60,2026-05-08,2026-04,2026-06-10
2B-0017,INV-2604-00062,KONARK INDUSTRIES & CO.,37AKHBP5432H1ZS,2026-04-01,27-Maharashtra,18,496966.00,0.00,0.00,89453.88,89453.88,586419.88,2026-05-08,2026-04,2026-06-10
2B-0018,INV-2604-00260,Zenith Industries India Private Limited,27NFAOH7689K1ZL,2026-04-05,27-Maharashtra,18,353080.00,31777.20,31777.20,0.00,63554.40,416634.40,2026-05-06,2026-04,2026-06-10
2B-0019,INV-2604-00128,Konark Industries and Company,37AKHBP5432H1ZS,2026-04-22,27-Maharashtra,12,294098.00,0.00,0.00,35291.76,35291.76,329389.76,2026-05-11,2026-04,2026-06-10
2B-0020,INV-2604-90004,Wavelength Chemicals Limited,22JLIUB3888G1ZO,2026-04-06,27-Maharashtra,5,41395.00,0.00,0.00,2069.75,2069.75,43464.75,2026-05-07,2026-04,2026-06-10
2B-0021,INV-2604-00123,Wavelength Chemicals Limited,22JLIUB3888G1ZO,2026-04-07,27-Maharashtra,18,292560.00,0.00,0.00,52660.80,52660.80,345220.80,2026-05-11,2026-04,2026-06-10
2B-0022,INV-2604-00348,Himalaya Logistics Limited,21SKPXR4660P1ZJ,2026-04-06,27-Maharashtra,5,302601.00,0.00,0.00,15130.05,15130.05,317731.05,2026-05-09,2026-04,2026-06-10
